Site,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,End_Date
dcid:geoId/26,73,,,,339,18.6,14.33,23.08,464,17.1,13.55,20.96,441,8.9,5.98,12.25,448,15.7,10.93,20.66,869,23.5,19.08,27.54,1317,19.7,16.57,22.81,1961625,1649956,2271303,2021-03-19
dcid:geoId/27,174,16.1,10.42,22.6,401,12.9,9.11,17.71,422,14.8,10.99,19.31,310,16.1,10.5,21.51,556,14.1,10.52,18.09,751,15.0,11.74,18.52,1307,14.5,12.08,17.17,801467,667705,949047,2021-03-20
dcid:geoId/29,172,24.0,15.87,32.68,395,25.6,19.72,31.26,428,19.8,15.21,25.12,441,16.8,12.29,21.97,614,20.1,15.63,24.66,822,25.1,21.1,29.5,1436,22.7,19.4,25.84,1382444,1181472,1573672,2021-03-20
dcid:geoId/28,115,28.2,19.95,36.33,412,37.2,32.0,42.37,413,23.4,19.37,27.96,378,20.7,16.39,25.16,495,28.9,23.63,34.24,823,30.9,27.28,34.65,1318,29.9,26.75,33.15,893640,799494,990775,2021-03-21
dcid:geoId/30,30,,,,212,8.1,4.58,12.04,158,16.3,10.52,21.95,149,8.2,3.44,13.57,227,8.0,4.6,11.67,322,15.7,9.87,22.12,549,11.8,8.05,15.6,122924,83859,162510,2021-03-20
dcid:geoId/37,329,24.5,20.21,29.41,293,28.5,23.62,33.7,324,19.9,15.59,24.07,194,14.9,9.76,19.97,535,24.9,21.19,29.07,605,22.8,19.06,26.94,1140,23.8,21.14,26.63,2417039,2146899,2704443,2021-03-18
dcid:geoId/38,0,,,,14,,,,12,,,,9,,,,18,,,,17,,,,35,,,,,,,2021-03-19
dcid:geoId/31,81,17.4,9.87,27.11,548,19.9,16.63,23.41,409,21.6,17.78,25.7,238,16.5,11.59,22.34,583,17.8,14.26,21.96,693,20.4,16.64,24.6,1276,19.1,16.51,22.06,363809,314476,420190,2021-03-19
dcid:geoId/33,67,,,,548,8.2,6.09,10.53,342,9.6,6.47,12.95,343,5.0,2.29,8.06,577,7.2,5.11,9.51,723,8.9,6.35,11.85,1300,8.1,6.35,9.8,108833,85320,131675,2021-03-18
dcid:geoId/34,209,40.1,33.7,47.11,304,31.7,25.92,36.91,292,21.0,16.51,26.17,330,15.7,11.6,20.1,477,28.9,24.08,33.71,658,28.8,25.02,32.89,1135,28.9,25.99,31.82,2566853,2308392,2826203,2021-03-17
dcid:geoId/35,204,21.5,15.41,28.27,365,15.1,11.15,18.88,365,17.2,12.93,21.49,365,7.2,4.48,10.23,520,15.6,11.69,19.55,779,15.9,12.92,18.99,1299,15.7,13.34,18.04,328512,279131,377475,2021-03-20
dcid:geoId/32,94,35.7,25.88,46.37,437,24.9,20.78,29.34,442,22.0,17.46,26.27,346,11.4,8.02,14.8,538,26.2,21.4,31.56,781,23.4,19.79,27.17,1319,24.8,22.0,28.03,724867,643027,819275,2021-03-15
dcid:geoId/36,352,11.0,7.85,14.52,323,16.2,12.05,20.19,304,15.2,11.15,19.49,329,10.2,6.93,13.51,605,15.4,11.98,19.08,703,12.6,9.98,15.5,1308,13.9,11.83,16.08,2726965,2320863,3154647,2021-03-20
dcid:geoId/39,260,33.0,27.03,38.78,507,35.1,30.63,39.2,343,27.5,22.54,32.06,456,17.4,13.82,20.94,712,34.7,30.84,38.51,854,25.8,22.38,28.87,1566,30.2,27.96,32.73,3515847,3255069,3810387,2021-03-17
dcid:geoId/40,260,20.6,15.56,26.22,325,17.0,12.13,21.61,325,21.1,16.56,25.58,390,14.3,10.47,18.01,541,19.7,15.61,23.54,759,16.8,13.8,19.83,1300,18.2,15.82,20.81,713101,619849,815364,2021-03-12
dcid:geoId/41,260,14.0,9.89,19.07,347,4.4,2.34,6.48,352,4.9,2.6,7.38,353,3.3,1.21,5.62,555,7.4,5.25,9.79,757,5.3,3.59,7.16,1312,6.3,4.92,7.81,257162,200832,318800,2021-03-20
