Site,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,End_Date
dcid:geoId/02,5,,,,81,0.7,0.0,2.23,83,0.0,0.0,4.35,73,,,,88,0.0,0.0,4.11,154,0.7,0.0,2.35,242,0.3,0.0,1.12,2216,0,8271,2020-08-11
dcid:geoId/01,192,10.2,5.61,14.83,242,4.7,1.86,7.8,245,5.9,2.71,10.0,255,2.3,0.6,4.63,373,4.9,2.5,7.97,565,6.6,4.39,9.15,938,5.8,4.16,7.71,282151,202371,375067,2020-08-13
dcid:geoId/05,199,5.0,2.0,8.6,241,4.7,2.17,7.88,242,4.2,1.38,7.5,242,1.5,0.0,3.29,380,3.8,1.86,6.1,557,4.3,2.4,6.68,937,4.1,2.74,5.63,122618,81944,168375,2020-08-13
dcid:geoId/04,24,,,,244,10.8,3.61,20.32,222,7.1,0.74,14.83,101,5.5,0.18,12.19,93,9.0,2.2,17.7,498,7.5,3.26,13.56,591,8.2,4.11,13.59,569628,285509,944054,2020-08-11
dcid:geoId/06,245,6.2,3.12,10.09,245,7.0,3.9,10.3,245,5.2,2.46,8.82,245,1.1,0.0,2.61,420,5.1,2.74,7.83,560,6.3,3.97,9.19,980,5.7,4.05,7.77,2231479,1585525,3041859,2020-08-05
dcid:geoId/08,240,4.3,0.63,10.52,246,1.1,0.0,2.75,258,4.3,0.34,11.31,257,0.8,0.0,2.07,454,2.7,0.75,5.72,547,2.1,0.49,4.94,1001,2.4,0.89,4.53,132747,49227,250561,2020-08-07
dcid:geoId/09,248,3.9,1.48,6.46,249,3.1,1.0,5.62,248,3.7,1.3,6.3,249,2.7,0.5,5.17,417,4.2,2.13,6.42,577,2.5,1.18,4.1,994,3.4,2.04,4.72,121771,73063,169047,2020-08-03
dcid:geoId/11,49,,,,262,1.4,0.0,3.09,185,5.5,2.28,9.15,219,6.4,3.28,9.94,321,3.3,1.27,5.93,396,4.4,2.06,7.53,717,3.9,2.18,5.76,26695,14922,39427,2020-08-13
dcid:geoId/10,52,,,,237,8.3,4.31,12.72,261,5.0,2.24,8.34,254,0.9,0.0,2.29,339,4.3,2.13,7.12,465,7.0,4.02,10.92,804,5.7,3.55,8.22,54121,33707,78048,2020-08-13
dcid:geoId/12,245,3.8,1.57,6.35,245,5.4,2.28,8.78,244,3.7,1.22,6.46,246,3.3,0.96,6.22,427,5.2,2.67,7.95,553,3.5,1.78,5.34,980,4.3,2.77,5.86,885720,570568,1207051,2020-08-03
dcid:geoId/13,242,8.6,4.78,12.54,245,7.8,4.18,11.09,245,4.9,2.02,7.86,252,2.8,0.8,5.52,459,8.1,5.08,11.86,526,5.6,3.35,8.43,985,6.8,4.83,8.81,700229,497368,907208,2020-08-11
dcid:geoId/15,1,,,,1,,,,2,,,,1,,,,1,,,,4,,,,5,,,,,,,2020-08-11
dcid:geoId/19,69,,,,251,11.4,7.12,16.11,254,6.5,2.92,9.93,237,2.5,0.44,5.12,353,4.6,1.85,7.4,458,12.5,8.54,17.01,811,8.6,5.98,11.34,269395,187323,355225,2020-08-13
dcid:geoId/16,10,,,,78,10.3,3.75,19.04,65,,,,93,1.3,0.0,4.51,90,7.0,2.04,14.12,156,2.1,0.16,5.31,246,4.5,1.8,7.99,75951,30381,134856,2020-08-11
dcid:geoId/17,244,5.1,1.96,8.55,246,3.8,1.6,6.24,252,3.5,1.43,5.78,260,3.1,1.18,5.51,432,3.5,1.62,5.64,572,4.3,2.59,6.32,1004,3.9,2.52,5.21,500038,323102,668000,2020-08-10
dcid:geoId/18,23,,,,228,3.3,0.97,6.16,186,4.4,1.08,9.53,142,0.0,0.0,2.56,152,1.4,0.0,3.3,427,3.0,1.16,5.46,579,2.2,1.1,3.63,146023,73012,240939,2020-08-11
dcid:geoId/20,234,1.6,0.0,3.74,240,1.9,0.33,4.26,244,1.5,0.0,3.36,244,0.9,0.0,2.51,420,1.4,0.28,2.84,542,1.8,0.44,3.46,962,1.6,0.7,2.8,46540,20361,81446,2020-08-08
dcid:geoId/21,240,4.1,1.66,7.21,246,2.1,0.34,4.34,243,2.2,0.42,4.31,245,1.3,0.0,3.17,448,2.2,0.65,4.06,527,2.7,1.16,4.39,975,2.4,1.32,3.62,106565,58611,160735,2020-08-13
dcid:geoId/22,245,11.7,6.99,17.33,252,10.6,6.64,15.17,249,9.9,4.06,18.63,256,2.7,0.73,5.06,401,8.9,5.1,13.35,601,10.2,6.91,13.74,1002,9.6,6.88,12.29,447707,320857,573158,2020-08-13
dcid:geoId/25,242,6.2,3.13,9.64,243,3.4,1.19,6.05,245,4.6,1.81,7.29,248,3.5,1.29,6.01,413,4.8,2.83,7.36,565,3.7,1.94,5.43,978,4.2,2.89,5.81,286868,197393,396834,2020-08-10
dcid:geoId/24,67,,,,241,11.6,7.13,15.96,237,5.7,3.04,8.61,238,2.8,0.93,5.07,284,11.5,6.57,16.74,499,8.1,5.18,11.83,783,9.7,7.26,12.87,582333,435849,772642,2020-08-11
dcid:geoId/23,26,,,,229,0.4,0.0,1.46,152,1.2,0.0,3.28,191,0.4,0.0,1.56,233,1.0,0.0,2.37,365,0.0,0.0,1.01,598,0.5,0.0,1.16,6664,0,15461,2020-08-11
dcid:geoId/26,245,6.7,3.64,10.4,245,3.6,1.39,6.48,243,1.8,0.0,3.83,249,0.3,0.0,1.28,454,3.9,2.0,6.07,528,2.8,1.31,4.67,982,3.4,2.16,4.84,338555,215082,481942,2020-08-11
dcid:geoId/27,142,3.7,1.03,7.02,240,4.5,2.16,7.08,243,1.6,0.32,3.1,247,3.2,0.0,9.08,361,3.2,1.08,5.61,518,3.8,1.95,5.68,879,3.5,2.06,5.01,193458,113864,276921,2020-08-13
dcid:geoId/29,242,3.2,1.12,5.45,244,2.9,0.96,5.15,244,2.1,0.33,4.46,243,1.1,0.0,3.25,429,1.7,0.55,3.19,550,3.3,1.45,5.19,979,2.5,1.44,3.61,152252,87697,219851,2020-08-10
dcid:geoId/28,37,,,,243,6.2,2.83,10.12,246,5.0,2.09,8.73,243,2.6,0.54,5.49,328,4.0,1.23,7.81,441,10.0,4.05,17.18,769,7.1,3.75,11.09,212202,112079,331454,2020-08-13
dcid:geoId/30,11,,,,63,,,,67,,,,53,,,,86,0.0,0.0,4.2,113,0.9,0.0,3.37,199,0.5,0.0,1.67,5209,0,17397,2020-08-10
dcid:geoId/37,197,6.4,2.84,10.49,248,1.6,0.35,3.5,243,0.9,0.0,2.33,240,1.0,0.0,2.52,394,1.6,0.31,3.1,534,3.3,1.66,5.2,928,2.5,1.31,3.72,253891,133039,377789,2020-08-10
dcid:geoId/38,5,,,,57,,,,30,,,,26,,,,47,,,,74,,,,121,7.3,1.3,14.28,54911,9779,107414,2020-08-12
dcid:geoId/31,152,10.2,4.83,16.49,254,8.1,4.41,12.18,243,7.6,3.4,12.51,298,0.8,0.0,2.91,391,8.2,4.62,12.06,563,6.6,4.12,9.34,954,7.4,5.25,9.75,140952,100000,185714,2020-08-13
dcid:geoId/33,69,,,,248,1.0,0.0,2.42,247,0.3,0.0,1.31,245,1.7,0.25,3.72,326,1.0,0.14,2.08,483,0.6,0.0,1.39,809,0.8,0.22,1.48,10749,2956,19886,2020-08-11
dcid:geoId/34,210,22.3,16.6,28.9,220,14.2,9.29,19.31,224,12.0,7.58,16.93,217,9.5,5.05,13.96,328,15.3,11.04,20.1,543,14.3,10.82,17.84,871,14.8,12.23,17.57,1314513,1086250,1560540,2020-08-11
dcid:geoId/35,156,3.1,0.7,6.3,290,1.8,0.63,3.69,262,2.6,0.68,4.86,255,0.3,0.0,0.99,359,0.6,0.0,1.84,605,3.3,1.84,5.11,964,2.0,1.09,3.02,41849,22808,63192,2020-08-13
dcid:geoId/32,243,8.9,5.36,12.85,245,4.2,1.69,7.3,243,4.0,1.78,6.61,246,3.1,1.14,5.64,441,5.3,2.87,8.07,538,4.9,3.19,6.86,979,5.1,3.63,6.66,149065,106099,194662,2020-08-02
dcid:geoId/36,214,26.7,20.64,33.36,197,29.7,22.63,36.55,218,17.8,12.68,23.16,217,7.9,4.18,11.64,366,21.6,16.81,27.1,480,24.9,20.81,29.17,846,23.3,20.07,26.32,4571100,3937424,5163577,2020-08-11
dcid:geoId/39,85,3.3,0.0,8.03,283,1.3,0.15,2.71,158,3.6,0.78,6.97,260,1.5,0.28,3.07,343,2.5,0.7,4.69,443,2.1,0.65,3.76,786,2.3,1.11,3.61,267763,129225,420272,2020-08-11
dcid:geoId/40,243,3.6,1.28,6.2,247,0.4,0.0,1.32,246,1.8,0.0,4.14,243,1.5,0.0,3.5,370,1.4,0.29,2.74,609,1.8,0.78,3.03,979,1.6,0.85,2.49,62690,33304,97562,2020-08-04
dcid:geoId/41,86,5.6,0.87,12.05,301,2.2,0.54,4.03,0,,,,271,0.6,0.0,1.67,257,2.3,0.36,5.19,401,2.3,0.73,4.0,658,2.3,1.03,3.84,93885,42044,156747,2020-08-11
dcid:geoId/42,9,,,,230,12.8,8.91,17.84,169,8.5,3.76,14.0,167,1.2,0.0,3.34,310,9.5,6.33,13.61,265,11.0,3.26,22.51,575,10.2,5.71,17.21,1304700,730376,2201362,2020-08-11
dcid:geoId/72,246,0.0,0.0,1.49,245,0.4,0.0,1.35,248,2.5,0.53,5.15,245,2.2,0.52,4.99,364,1.4,0.39,2.56,620,0.8,0.12,1.69,984,1.1,0.43,1.8,37256,14564,60965,2020-08-07
dcid:geoId/44,20,,,,240,2.3,0.45,4.65,208,4.1,1.14,7.37,216,1.7,0.0,3.69,309,2.7,0.99,4.64,375,3.4,0.65,7.7,684,3.0,1.23,5.51,31698,12996,58219,2020-08-11
dcid:geoId/45,86,11.6,4.48,20.14,244,9.2,5.45,13.32,244,6.9,3.74,10.92,266,2.1,0.52,4.25,364,9.4,5.62,13.51,476,6.9,4.08,9.88,840,8.1,5.79,10.69,401430,286948,529788,2020-08-13
dcid:geoId/46,0,,,,21,,,,11,,,,15,,,,31,,,,16,,,,47,,,,,,,2020-08-12
dcid:geoId/47,273,8.3,4.93,12.27,242,8.4,4.69,12.4,242,2.5,0.69,5.21,246,2.6,0.66,5.01,378,6.4,3.43,9.84,625,6.2,4.22,8.66,1003,6.3,4.41,8.25,419019,293313,548715,2020-08-11
dcid:geoId/48,246,8.4,4.78,13.05,246,5.6,2.94,9.06,246,5.5,2.32,9.42,247,1.9,0.34,4.02,438,6.2,3.61,8.88,548,5.5,2.95,8.31,986,5.9,4.04,7.95,1645227,1126562,2216873,2020-08-05
dcid:geoId/49,36,,,,355,4.3,1.96,6.73,249,3.1,1.13,5.53,240,1.3,0.0,3.26,339,2.2,0.62,3.92,541,4.2,1.77,7.5,880,3.2,1.7,5.03,97451,51771,153181,2020-08-11
dcid:geoId/51,23,,,,240,3.9,1.46,6.77,227,2.4,0.26,5.12,240,2.2,0.39,4.72,282,2.7,0.57,5.24,448,5.5,1.54,10.71,730,4.1,1.8,6.93,344965,151448,583075,2020-08-11
dcid:geoId/50,4,,,,153,1.1,0.0,4.42,96,0.0,0.0,3.77,93,0.0,0.0,3.89,127,1.0,0.0,3.74,219,0.0,0.0,1.67,346,0.5,0.0,1.84,3125,0,11500,2020-08-11
dcid:geoId/53,189,0.5,0.0,1.84,191,3.9,1.27,7.07,304,1.0,0.0,2.34,0,,,,292,2.0,0.25,4.27,392,2.3,0.72,4.2,684,2.1,0.81,3.7,153181,59084,269890,2020-08-11
dcid:geoId/55,79,2.4,0.0,6.28,243,2.2,0.45,4.31,240,1.4,0.0,3.65,244,0.8,0.0,2.18,361,2.0,0.26,3.96,453,1.7,0.41,3.4,814,1.8,0.76,3.18,104011,43916,183753,2020-08-13
dcid:geoId/54,9,,,,140,1.7,0.0,4.74,95,0.4,0.0,1.85,73,,,,115,1.5,0.0,3.48,202,0.9,0.0,2.55,317,1.2,0.23,2.5,21949,4207,45726,2020-08-13
dcid:geoId/56,1,,,,30,,,,24,,,,15,,,,36,,,,34,,,,71,,,,,,,2020-08-11
dcid:country/USA,6700,7.9,6.97,8.82,11237,6.8,6.01,7.42,10367,5.0,4.36,5.69,10408,2.5,2.0,3.0,16024,5.9,5.27,6.41,22751,5.9,5.47,6.44,38776,5.9,5.53,6.26,19251108,18043835,20425752,2020-08-13
dcid:geoId/02,20,,,,311,2.5,0.81,4.85,215,0.8,0.0,2.65,157,0.0,0.0,2.32,264,0.9,0.0,2.2,440,1.7,0.53,3.2,704,1.3,0.5,2.33,9601,3693,17207,2020-08-26
dcid:geoId/01,187,11.0,6.16,16.57,252,9.9,6.01,14.37,277,3.6,1.46,6.12,256,2.0,0.35,4.16,414,8.8,5.22,12.38,560,6.5,4.06,9.28,974,7.6,5.33,9.76,369716,259287,474793,2020-08-26
dcid:geoId/05,156,3.9,0.84,7.45,337,3.2,1.08,5.6,249,3.9,1.44,7.18,243,0.5,0.0,1.5,371,3.3,1.26,5.7,626,2.8,1.33,4.36,998,3.0,1.76,4.35,89720,52636,130094,2020-08-25
dcid:geoId/04,27,,,,943,7.4,3.94,12.04,226,5.6,0.66,12.71,108,0.0,0.0,3.36,102,5.5,1.82,10.69,1202,3.9,1.82,7.01,1304,4.7,2.7,7.61,326494,187560,528643,2020-08-26
dcid:geoId/06,245,5.6,2.55,8.94,245,4.8,2.22,7.97,245,2.3,0.67,4.59,245,3.5,1.21,6.77,430,4.8,2.62,7.31,550,3.9,1.83,6.05,980,4.3,2.85,6.06,1683397,1115740,2372415,2020-08-19
dcid:geoId/08,255,3.3,1.18,5.69,258,4.8,2.05,7.81,253,1.7,0.34,3.33,253,0.5,0.0,1.65,436,3.4,1.34,5.69,583,3.2,1.61,5.11,1019,3.3,1.83,4.8,182528,101220,265495,2020-08-25
dcid:geoId/09,244,5.1,1.95,8.16,246,1.0,0.0,2.7,245,2.8,0.71,5.11,248,2.0,0.32,3.97,403,2.2,0.85,3.87,580,2.6,1.38,4.26,983,2.4,1.45,3.52,85956,51932,126069,2020-08-24
dcid:geoId/11,47,,,,255,8.3,4.77,12.02,227,5.5,2.52,8.91,249,2.9,1.05,5.23,323,5.5,2.48,9.17,458,8.0,4.85,11.64,781,6.8,4.59,9.21,46546,31418,63042,2020-08-27
dcid:geoId/10,66,,,,241,9.3,5.26,13.82,288,6.3,3.29,9.23,409,2.1,0.68,3.72,418,9.7,5.32,14.62,586,7.3,4.14,10.62,1004,8.5,5.79,11.25,80707,54976,106818,2020-08-27
dcid:geoId/12,245,6.4,3.13,9.94,244,5.4,2.47,8.88,245,2.7,0.75,5.38,244,2.3,0.44,4.78,448,4.6,2.41,7.31,530,4.3,2.42,6.34,978,4.5,3.15,6.06,926916,648841,1248247,2020-08-14
dcid:geoId/13,277,9.6,5.64,13.96,253,6.4,3.38,9.84,251,7.2,3.45,11.88,250,6.8,2.8,12.09,465,8.3,5.35,11.68,566,6.5,4.23,9.32,1031,7.4,5.52,9.51,762014,568421,979291,2020-08-26
dcid:geoId/15,1,,,,2,,,,0,,,,6,,,,3,,,,6,,,,9,,,,,,,2020-08-26
dcid:geoId/19,72,,,,313,11.9,7.93,15.81,341,9.1,6.01,12.49,253,4.5,1.92,7.39,476,7.8,5.02,11.66,504,10.9,7.54,14.88,980,9.4,7.12,11.63,294455,223034,364310,2020-08-27
dcid:geoId/16,22,,,,207,2.6,0.54,4.99,170,5.1,1.44,9.73,252,3.1,1.05,5.78,226,4.8,0.69,12.76,425,4.3,1.42,8.73,651,4.6,1.67,9.05,77639,28186,152747,2020-08-26
dcid:geoId/17,246,3.5,1.17,6.4,246,7.4,4.23,10.9,244,3.4,1.3,6.12,249,2.0,0.58,3.71,469,5.1,3.01,7.38,516,4.8,2.44,7.08,985,4.9,3.4,6.65,628253,435931,852630,2020-08-27
dcid:geoId/18,12,,,,501,5.0,2.63,7.71,197,0.9,0.0,3.07,196,5.4,0.0,14.17,180,2.9,0.45,6.11,726,3.2,1.69,5.18,906,3.1,1.53,4.76,205760,101553,315941,2020-08-26
dcid:geoId/20,252,2.1,0.28,4.3,252,6.0,2.51,9.99,254,3.4,0.74,6.92,255,0.4,0.0,1.41,408,4.4,1.71,7.11,608,3.0,1.08,5.04,1016,3.7,2.02,5.47,107625,58757,159110,2020-08-25
dcid:geoId/21,245,4.2,1.7,6.94,244,3.5,1.47,6.03,368,2.8,1.07,4.85,269,1.0,0.0,2.58,510,4.1,2.26,6.08,616,2.1,0.89,3.81,1126,3.1,2.05,4.49,137646,91024,199365,2020-08-26
dcid:geoId/22,235,12.2,7.68,17.67,249,11.0,6.84,16.36,252,16.7,10.74,23.6,253,6.8,3.46,11.33,402,10.4,7.0,14.49,587,13.2,9.31,17.57,989,11.8,9.27,14.81,550307,432317,690682,2020-08-25
dcid:geoId/25,243,4.2,1.69,7.37,246,4.6,2.14,7.84,246,2.4,0.48,4.7,245,2.1,0.34,4.47,422,4.4,2.22,6.78,558,3.0,1.49,4.97,980,3.7,2.27,5.21,252717,155045,355853,2020-08-27
dcid:geoId/24,63,,,,380,7.9,5.3,11.0,349,4.6,2.33,7.26,382,3.8,1.88,6.1,476,7.9,4.22,11.37,698,6.2,3.78,8.98,1174,7.0,4.92,9.33,420240,295369,560120,2020-08-26
dcid:geoId/23,15,,,,230,1.4,0.0,3.63,174,0.0,0.0,2.1,190,0.2,0.0,1.02,239,0.0,0.0,1.53,370,1.2,0.0,2.82,609,0.6,0.0,1.44,7997,0,19193,2020-08-27
dcid:geoId/26,247,6.0,3.09,9.18,245,3.9,1.39,6.81,245,3.9,1.47,7.17,246,2.7,0.79,4.86,427,4.8,2.62,7.37,556,3.5,1.8,5.52,983,4.2,2.88,5.76,418214,286776,573551,2020-08-25
dcid:geoId/27,163,2.3,0.38,4.8,249,5.6,3.0,8.5,280,5.3,2.65,7.98,286,3.6,1.5,6.03,432,4.3,2.49,6.41,546,4.6,2.85,6.68,978,4.5,3.05,5.87,248731,168584,324456,2020-08-27
dcid:geoId/29,253,3.7,1.3,6.63,247,4.3,1.85,7.45,260,3.1,1.26,5.34,257,1.6,0.0,3.77,427,2.8,1.11,5.15,594,4.1,2.24,6.23,1021,3.5,2.23,5.06,213152,135808,308157,2020-08-21
dcid:geoId/28,25,,,,315,13.0,8.64,17.97,314,9.1,5.65,13.25,314,3.1,1.16,5.95,416,8.1,4.6,12.8,552,11.8,6.69,19.81,968,10.0,6.69,14.71,298876,199948,439647,2020-08-27
dcid:geoId/30,19,,,,108,1.7,0.0,4.55,131,0.0,0.0,2.78,119,3.6,0.66,7.2,160,0.7,0.0,2.51,223,1.9,0.4,3.93,383,1.3,0.38,2.49,13543,3959,25939,2020-08-24
dcid:geoId/37,246,4.1,1.72,6.93,246,3.4,1.27,6.11,245,6.1,3.2,9.98,245,1.3,0.25,3.12,390,3.2,1.24,5.68,592,4.3,2.33,6.43,982,3.8,2.33,5.29,385914,236626,537233,2020-08-27
dcid:geoId/38,6,,,,63,,,,39,,,,26,,,,45,,,,90,1.3,0.0,2.99,135,0.6,0.0,1.45,4513,0,10907,2020-08-26
dcid:geoId/31,68,,,,348,10.0,6.45,13.73,323,4.5,2.44,6.93,247,2.9,0.93,5.54,513,8.6,4.8,13.19,477,7.2,4.46,10.44,990,7.9,5.51,10.61,150476,104952,202095,2020-08-25
dcid:geoId/33,35,,,,394,0.8,0.0,1.64,394,1.3,0.23,2.42,302,1.0,0.0,2.29,476,0.9,0.23,1.7,649,0.6,0.1,1.3,1125,0.8,0.3,1.22,10749,4031,16392,2020-08-25
dcid:geoId/34,209,16.9,11.31,21.99,313,14.2,10.3,18.5,291,7.3,4.33,10.26,314,6.7,3.93,10.08,460,11.0,7.88,14.46,667,13.4,10.59,16.23,1127,12.2,10.15,14.53,1083585,901507,1290532,2020-08-26
dcid:geoId/35,178,4.1,0.98,8.07,264,2.2,0.55,4.28,268,2.7,0.94,5.16,265,0.8,0.0,2.0,372,2.2,0.5,4.15,604,2.8,1.39,4.47,976,2.5,1.47,3.79,52311,30759,79303,2020-08-27
dcid:geoId/32,244,9.7,5.94,13.45,245,7.8,4.68,11.11,244,8.0,4.71,11.44,239,5.4,2.8,8.7,420,8.9,5.93,12.39,552,7.0,4.83,9.36,972,7.9,6.13,9.83,230905,179171,287316,2020-08-26
dcid:geoId/36,270,25.2,19.71,30.91,283,22.2,17.52,27.19,292,16.8,12.74,21.44,277,14.6,10.95,18.43,449,20.6,16.69,24.78,673,20.5,17.21,24.14,1122,20.6,18.04,23.14,4041401,3539169,4539710,2020-08-26
dcid:geoId/39,103,2.5,0.0,6.35,287,2.0,0.43,4.09,306,2.6,0.89,4.67,289,1.0,0.0,2.58,403,1.7,0.37,3.5,582,2.4,1.04,4.22,985,2.1,1.06,3.29,244479,123404,383018,2020-08-27
dcid:geoId/40,245,6.9,3.69,10.78,245,3.4,1.34,6.08,245,1.7,0.29,3.73,244,3.8,1.23,6.57,382,3.5,1.5,5.76,597,4.6,2.85,6.79,979,4.0,2.72,5.51,156725,106573,215889,2020-08-18
dcid:geoId/41,100,2.0,0.0,5.11,373,2.9,1.35,4.99,357,1.7,0.4,3.31,256,2.1,0.42,4.4,459,1.5,0.42,2.85,627,3.2,1.53,5.18,1086,2.4,1.41,3.6,97967,57555,146950,2020-08-27
dcid:geoId/42,13,,,,561,15.7,12.87,18.78,151,9.5,4.73,14.73,162,2.1,0.0,4.87,518,15.5,10.51,22.76,369,4.8,2.84,7.24,887,10.1,7.53,13.74,1291909,963176,1757508,2020-08-26
dcid:geoId/72,247,1.0,0.0,2.45,246,0.9,0.0,2.49,246,3.2,1.06,5.93,247,5.0,1.25,10.63,375,1.6,0.38,3.31,611,2.6,1.11,4.54,986,2.2,1.18,3.26,74513,39966,110414,2020-08-17
dcid:geoId/44,33,,,,207,1.7,0.0,3.72,189,3.3,0.78,6.51,141,2.5,0.0,5.72,270,3.5,0.82,6.73,300,3.8,0.84,7.53,570,3.6,1.69,5.89,38038,17857,62234,2020-08-27
dcid:geoId/45,173,5.3,2.13,8.95,305,7.0,4.01,10.42,310,6.0,3.21,9.42,275,4.6,1.93,8.1,446,7.3,4.49,10.3,617,4.8,3.03,7.01,1063,6.0,4.37,7.95,297356,216574,393996,2020-08-27
dcid:geoId/46,1,,,,40,,,,22,,,,20,,,,70,,,,13,,,,83,0.0,0.0,4.35,0,0,37597,2020-08-26
dcid:geoId/47,278,6.8,3.77,10.13,252,9.1,5.76,13.41,250,5.1,2.39,8.67,249,2.1,0.45,4.29,456,7.3,4.64,10.26,573,6.1,3.79,8.67,1029,6.7,5.11,8.57,445623,339871,569998,2020-08-26
dcid:geoId/48,250,8.7,5.17,12.89,251,6.4,3.31,10.14,250,5.3,2.39,9.23,250,3.7,1.47,6.51,466,6.1,3.36,9.23,535,6.9,4.52,9.76,1001,6.5,4.69,8.47,1812538,1307816,2361876,2020-08-24
dcid:geoId/49,43,,,,333,6.2,3.37,9.22,249,3.3,1.07,5.51,246,1.4,0.0,3.12,370,7.0,2.57,12.61,501,3.9,2.06,6.09,871,5.5,2.94,8.71,167494,89533,265250,2020-08-25
dcid:geoId/51,30,,,,507,3.3,1.96,5.06,337,2.9,0.83,5.32,369,1.1,0.16,2.37,391,1.1,0.21,2.31,852,8.1,3.99,12.57,1243,4.7,2.51,7.22,395447,211186,607474,2020-08-26
dcid:geoId/50,8,,,,163,0.0,0.0,2.24,79,0.8,0.0,3.03,132,0.5,0.0,1.79,145,0.0,0.0,2.51,237,0.5,0.0,1.6,382,0.3,0.0,0.81,1875,0,5062,2020-08-27
dcid:geoId/53,121,4.7,1.06,9.44,473,3.4,1.67,5.79,358,1.6,0.22,3.58,286,1.2,0.13,2.77,514,3.7,1.55,6.46,724,2.4,1.06,3.95,1238,3.0,1.79,4.47,218830,130569,326057,2020-08-27
dcid:geoId/55,103,1.4,0.0,3.84,274,4.3,1.92,7.18,287,3.8,1.5,6.22,168,2.2,0.0,5.29,379,2.1,0.74,3.74,459,4.5,2.26,6.81,838,3.3,2.03,4.72,190687,117301,272740,2020-08-27
dcid:geoId/54,30,,,,238,1.2,0.23,2.74,213,0.8,0.0,2.73,155,1.1,0.0,3.14,227,2.5,0.22,7.73,410,1.9,0.3,4.49,637,2.2,0.52,4.9,40239,9511,89624,2020-08-27
dcid:geoId/56,4,,,,41,,,,23,,,,18,,,,51,,,,35,,,,86,0.8,0.0,3.11,4655,0,18095,2020-08-24
dcid:country/USA,6920,7.6,6.84,8.57,14571,7.2,6.65,7.74,12514,5.0,4.47,5.6,11856,3.4,2.95,3.93,18794,6.4,5.98,6.9,27112,6.0,5.52,6.41,45907,6.2,5.86,6.51,20229978,19120592,21241477,2020-08-27
dcid:geoId/02,23,,,,184,1.6,0.0,3.78,189,1.4,0.0,3.3,213,0.5,0.0,1.86,238,1.0,0.0,3.19,372,1.1,0.14,2.5,610,1.0,0.24,2.17,7385,1772,16026,2020-09-09
dcid:geoId/01,66,,,,250,11.6,7.67,16.19,254,7.0,3.59,10.48,385,3.4,1.64,5.6,417,7.7,4.19,12.18,538,11.9,8.24,16.73,955,9.9,7.19,12.79,481603,349770,622193,2020-09-08
